Severity,Checker,File,Line
"Normal","COLLECTION.WRONG_ARG_TYPE","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/container/service/LessonMenuService.java","64"
"Normal","COLLECTION.WRONG_ARG_TYPE","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/xxe/CommentsCache.java","91"
"Major","DEREF_AFTER_NULL","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/container/LessonTemplateResolver.java","61"
"Normal","DEREF_OF_NULL.RET","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/it/java/org/owasp/webgoat/integration/LabelAndHintIntegrationTest.java","150"
"Normal","DEREF_OF_NULL.RET","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/it/java/org/owasp/webgoat/integration/LabelAndHintIntegrationTest.java","183"
"Normal","DEREF_OF_NULL.RET","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/idor/IDOREditOtherProfile.java","96"
"Normal","DEREF_OF_NULL.RET","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/missingac/MissingFunctionACYourHash.java","40"
"Normal","DEREF_OF_NULL.RET","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/missingac/MissingFunctionACYourHashAdmin.java","46"
"Normal","DEREF_OF_NULL.RET","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/xss/DOMCrossSiteScripting.java","40"
"Major","DEREF_OF_NULL.RET.LIB","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/pathtraversal/ProfileUploadBase.java","82"
"Major","DEREF_OF_NULL.RET.LIB","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/pathtraversal/ProfileUploadBase.java","86"
"Major","DEREF_OF_NULL.RET.LIB","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/pathtraversal/ProfileUploadRetrieval.java","69"
"Major","DEREF_OF_NULL.RET.LIB","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/pathtraversal/ProfileUploadRetrieval.java","72"
"Major","DEREF_OF_NULL.RET.LIB","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/pathtraversal/ProfileUploadRetrieval.java","117"
"Major","DEREF_OF_NULL.RET.LIB","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/webwolf/requests/Requests.java","63"
"Major","DEREF_OF_NULL.RET.LIB","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/webwolf/requests/Requests.java","65"
"Major","DEREF_OF_NULL.RET.STAT","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/cryptography/SigningAssignment.java","60"
"Major","FB.COMMAND_INJECTION","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/dummy/insecure/framework/VulnerableTaskHolder.java","69"
"Major","FB.DLS_DEAD_LOCAL_STORE","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/it/java/org/owasp/webgoat/integration/JWTLessonIntegrationTest.java","77"
"Major","FB.DLS_DEAD_LOCAL_STORE","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/it/java/org/owasp/webgoat/integration/PathTraversalIntegrationTest.java","148"
"Major","FB.DLS_DEAD_LOCAL_STORE","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/sqlinjection/mitigation/SqlInjectionLesson10b.java","99"
"Major","FB.DLS_DEAD_LOCAL_STORE","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/test/java/org/owasp/webgoat/lessons/jwt/TokenTest.java","47"
"Major","FB.DMI_RANDOM_USED_ONLY_ONCE","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/challenges/challenge1/ImageServlet.java","21"
"Major","FB.DMI_RANDOM_USED_ONLY_ONCE","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/challenges/challenge7/PasswordResetLink.java","21"
"Major","FB.DMI_RANDOM_USED_ONLY_ONCE","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/cryptography/CryptoUtil.java","42"
"Major","FB.DMI_RANDOM_USED_ONLY_ONCE","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/cryptography/EncodingAssignment.java","37"
"Major","FB.DMI_RANDOM_USED_ONLY_ONCE","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/cryptography/HashingAssignment.java","37"
"Major","FB.DMI_RANDOM_USED_ONLY_ONCE","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/cryptography/HashingAssignment.java","55"
"Major","FB.DMI_RANDOM_USED_ONLY_ONCE","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/csrf/CSRFGetFlag.java","40"
"Major","FB.DMI_RANDOM_USED_ONLY_ONCE","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/hijacksession/cas/HijackSessionAuthenticationProvider.java","29"
"Major","FB.DMI_RANDOM_USED_ONLY_ONCE","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/jwt/JWTSecretKeyEndpoint.java","38"
"Major","FB.DMI_RANDOM_USED_ONLY_ONCE","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/xss/DOMCrossSiteScripting.java","34"
"Minor","FB.DM_DEFAULT_ENCODING","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/it/java/org/owasp/webgoat/integration/ChallengeIntegrationTest.java","35"
"Minor","FB.DM_DEFAULT_ENCODING","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/it/java/org/owasp/webgoat/integration/CryptoIntegrationTest.java","64"
"Minor","FB.DM_DEFAULT_ENCODING","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/it/java/org/owasp/webgoat/integration/CryptoIntegrationTest.java","148"
"Minor","FB.DM_DEFAULT_ENCODING","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/it/java/org/owasp/webgoat/integration/CSRFIntegrationTest.java","109"
"Minor","FB.DM_DEFAULT_ENCODING","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/it/java/org/owasp/webgoat/integration/JWTLessonIntegrationTest.java","142"
"Minor","FB.DM_DEFAULT_ENCODING","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/it/java/org/owasp/webgoat/integration/JWTLessonIntegrationTest.java","155"
"Minor","FB.DM_DEFAULT_ENCODING","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/it/java/org/owasp/webgoat/integration/JWTLessonIntegrationTest.java","180"
"Minor","FB.DM_DEFAULT_ENCODING","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/it/java/org/owasp/webgoat/integration/JWTLessonIntegrationTest.java","198"
"Minor","FB.DM_DEFAULT_ENCODING","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/it/java/org/owasp/webgoat/integration/JWTLessonIntegrationTest.java","260"
"Minor","FB.DM_DEFAULT_ENCODING","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/it/java/org/owasp/webgoat/integration/PathTraversalIntegrationTest.java","40"
"Minor","FB.DM_DEFAULT_ENCODING","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/it/java/org/owasp/webgoat/integration/XXEIntegrationTest.java","72"
"Minor","FB.DM_DEFAULT_ENCODING","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/dummy/insecure/framework/VulnerableTaskHolder.java","70"
"Minor","FB.DM_DEFAULT_ENCODING","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/container/AsciiDoctorTemplateResolver.java","76"
"Minor","FB.DM_DEFAULT_ENCODING","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/challenges/challenge7/MD5.java","376"
"Minor","FB.DM_DEFAULT_ENCODING","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/cryptography/EncodingAssignment.java","26"
"Minor","FB.DM_DEFAULT_ENCODING","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/cryptography/HashingAssignment.java","40"
"Minor","FB.DM_DEFAULT_ENCODING","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/cryptography/HashingAssignment.java","85"
"Minor","FB.DM_DEFAULT_ENCODING","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/csrf/CSRFFeedback.java","53"
"Minor","FB.DM_DEFAULT_ENCODING","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/pathtraversal/ProfileUploadRetrieval.java","118"
"Minor","FB.DM_DEFAULT_ENCODING","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/spoofcookie/encoders/EncDec.java","59"
"Minor","FB.DM_DEFAULT_ENCODING","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/spoofcookie/encoders/EncDec.java","63"
"Minor","FB.DM_DEFAULT_ENCODING","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/spoofcookie/encoders/EncDec.java","67"
"Minor","FB.DM_DEFAULT_ENCODING","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/spoofcookie/encoders/EncDec.java","68"
"Minor","FB.DM_DEFAULT_ENCODING","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/xxe/Ping.java","34"
"Minor","FB.DM_DEFAULT_ENCODING","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/test/java/org/owasp/webgoat/lessons/challenges/challenge7/MD5Test.java","21"
"Minor","FB.DM_DEFAULT_ENCODING","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/test/java/org/owasp/webgoat/lessons/pathtraversal/ProfileUploadFixTest.java","32"
"Minor","FB.DM_DEFAULT_ENCODING","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/test/java/org/owasp/webgoat/lessons/pathtraversal/ProfileUploadFixTest.java","48"
"Minor","FB.DM_DEFAULT_ENCODING","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/test/java/org/owasp/webgoat/lessons/pathtraversal/ProfileUploadRemoveUserInputTest.java","32"
"Minor","FB.DM_DEFAULT_ENCODING","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/test/java/org/owasp/webgoat/lessons/pathtraversal/ProfileUploadRemoveUserInputTest.java","48"
"Minor","FB.DM_DEFAULT_ENCODING","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/test/java/org/owasp/webgoat/lessons/pathtraversal/ProfileUploadTest.java","32"
"Minor","FB.DM_DEFAULT_ENCODING","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/test/java/org/owasp/webgoat/lessons/pathtraversal/ProfileUploadTest.java","49"
"Minor","FB.DM_DEFAULT_ENCODING","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/test/java/org/owasp/webgoat/lessons/pathtraversal/ProfileUploadTest.java","66"
"Minor","FB.DM_DEFAULT_ENCODING","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/test/java/org/owasp/webgoat/lessons/pathtraversal/ProfileUploadTest.java","84"
"Minor","FB.EI_EXPOSE_REP","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/it/java/org/owasp/webgoat/playwright/webgoat/pages/lessons/HttpBasicsLessonPage.java","15"
"Minor","FB.EI_EXPOSE_REP","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/it/java/org/owasp/webgoat/playwright/webgoat/pages/lessons/HttpBasicsLessonPage.java","16"
"Minor","FB.EI_EXPOSE_REP","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/it/java/org/owasp/webgoat/playwright/webgoat/pages/lessons/LessonPage.java","19"
"Minor","FB.EI_EXPOSE_REP","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/it/java/org/owasp/webgoat/playwright/webgoat/pages/RegistrationPage.java","18"
"Minor","FB.EI_EXPOSE_REP","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/it/java/org/owasp/webgoat/playwright/webgoat/pages/WebGoatLoginPage.java","17"
"Minor","FB.EI_EXPOSE_REP","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/it/java/org/owasp/webgoat/playwright/webwolf/pages/WebWolfLoginPage.java","18"
"Minor","FB.EI_EXPOSE_REP","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/container/assignments/AttackResult.java","17"
"Minor","FB.EI_EXPOSE_REP","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/container/assignments/AttackResult.java","19"
"Minor","FB.EI_EXPOSE_REP","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/container/LessonResourceScanner.java","23"
"Minor","FB.EI_EXPOSE_REP","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/container/lessons/Assignment.java","29"
"Minor","FB.EI_EXPOSE_REP","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/container/lessons/Lesson.java","16"
"Minor","FB.EI_EXPOSE_REP","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/container/lessons/LessonMenuItem.java","49"
"Minor","FB.EI_EXPOSE_REP","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/container/report/ReportCardController.java","57"
"Minor","FB.EI_EXPOSE_REP","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/container/service/HintService.java","39"
"Minor","FB.EI_EXPOSE_REP","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/container/session/Course.java","48"
"Minor","FB.EI_EXPOSE_REP","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/container/users/WebGoatUser.java","32"
"Minor","FB.EI_EXPOSE_REP","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/container/WebSecurityConfig.java","77"
"Minor","FB.EI_EXPOSE_REP","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/cia/CIAQuiz.java","58"
"Minor","FB.EI_EXPOSE_REP","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/jwt/JWTQuiz.java","53"
"Minor","FB.EI_EXPOSE_REP","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/sqlinjection/advanced/SqlInjectionQuiz.java","70"
"Minor","FB.EI_EXPOSE_REP","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/xss/CrossSiteScriptingQuiz.java","67"
