AccountVerificationHelper.java	36	UNUSED_VALUE	Minor
AsciiDoctorTemplateResolver.java	76	FB.DM_DEFAULT_ENCODING	Minor
Assignment.java	29	FB.EI_EXPOSE_REP	Minor
Assignment.java	49	FB.EI_EXPOSE_REP2	Minor
Assignment1.java	36	PROC_USE.VULNERABLE	Minor
Assignment1.java	40	UNREACHABLE_CODE	Normal
Assignment5.java	26	FB.EI_EXPOSE_REP2	Minor
Assignment5.java	44	FB.OBL_UNSATISFIED_OBLIGATION	Minor
Assignment5.java	44	FB.ODR_OPEN_DATABASE_RESOURCE	Minor
Assignment5.java	44	HANDLE_LEAK	Major
Assignment5.java	44	TAINTED_PTR	Critical
Assignment5.java	50	FB.OBL_UNSATISFIED_OBLIGATION	Minor
Assignment7.java	60	FB.EI_EXPOSE_REP2	Minor
AttackResult.java	17	FB.EI_EXPOSE_REP	Minor
AttackResult.java	19	FB.EI_EXPOSE_REP	Minor
AttackResult.java	46	FB.EI_EXPOSE_REP2	Minor
AttackResult.java	48	FB.EI_EXPOSE_REP2	Minor
AttackResultMessageResponseBodyAdvice.java	23	FB.EI_EXPOSE_REP2	Minor
BlindSendFileAssignment.java	50	FB.EI_EXPOSE_REP2	Minor
BlindSendFileAssignment.java	56	FB.PATH_TRAVERSAL_IN	Minor
BlindSendFileAssignment.java	58	FB.RV_RETURN_VALUE_IGNORED_BAD_PRACTICE	Major
CIAQuiz.java	58	FB.EI_EXPOSE_REP	Minor
CSRFConfirmFlag1.java	26	FB.EI_EXPOSE_REP2	Minor
CSRFFeedback.java	37	FB.EI_EXPOSE_REP2	Minor
CSRFFeedback.java	38	FB.EI_EXPOSE_REP2	Minor
CSRFFeedback.java	53	FB.DM_DEFAULT_ENCODING	Minor
CSRFGetFlag.java	39	FB.PREDICTABLE_RANDOM	Minor
CSRFGetFlag.java	40	FB.DMI_RANDOM_USED_ONLY_ONCE	Major
CSRFGetFlag.java	45	FB.PREDICTABLE_RANDOM	Minor
CSRFGetFlag.java	56	FB.PREDICTABLE_RANDOM	Minor
CommentsCache.java	91	COLLECTION.WRONG_ARG_TYPE	Normal
CommentsEndpoint.java	23	FB.EI_EXPOSE_REP2	Minor
ContentTypeAssignment.java	42	FB.EI_EXPOSE_REP2	Minor
Course.java	19	FB.EI_EXPOSE_REP2	Minor
Course.java	48	FB.EI_EXPOSE_REP	Minor
Course.java	62	FB.EI_EXPOSE_REP2	Minor
CourseConfiguration.java	34	FB.EI_EXPOSE_REP2	Minor
CourseConfiguration.java	35	FB.EI_EXPOSE_REP2	Minor
CrossSiteScriptingLesson5a.java	39	FB.EI_EXPOSE_REP2	Minor
CrossSiteScriptingLesson6a.java	31	FB.EI_EXPOSE_REP2	Minor
CrossSiteScriptingQuiz.java	67	FB.EI_EXPOSE_REP	Minor
CryptoUtil.java	42	FB.DMI_RANDOM_USED_ONLY_ONCE	Major
DOMCrossSiteScripting.java	26	FB.EI_EXPOSE_REP2	Minor
DOMCrossSiteScripting.java	34	FB.DMI_RANDOM_USED_ONLY_ONCE	Major
DOMCrossSiteScripting.java	40	DEREF_OF_NULL.RET	Normal
DOMCrossSiteScriptingVerifier.java	35	FB.EI_EXPOSE_REP2	Minor
DatabaseConfiguration.java	22	FB.EI_EXPOSE_REP2	Minor
EncDec.java	59	FB.DM_DEFAULT_ENCODING	Minor
